rating_id,cooler_id,user_handle,rating,review_body,created_at_rating,name,brand_name,normalized_category,abv,price_cents,price_dollars,image_url,lcbo_id,created_at_cooler,category_code,cat_cider,cat_cooler,cat_hard_seltzer,cat_other,cat_radler,price_tier,abv_tier,abv_norm,price_norm,user_mean_rating,user_rating_count,user_rating_std,avg_rating,rating_count
1,8,TorontoML_Recruiter,5,Crisp and refreshing. The black cherry flavour is perfectly balanced — not too sweet.,2024-02-01T14:23:00Z,White Claw Hard Seltzer Black Cherry 355mL,White Claw,hard_seltzer,5.0,325,3.25,,lcbo-100008,2024-01-15T10:07:00Z,2,False,False,True,False,False,mid,standard,1.0,0.024640657084188902,4.666666666666667,3,0.5773502691896257,4.5,2
2,9,TorontoML_Recruiter,4,Mango is subtle and tropical. Great poolside drink.,2024-02-01T14:25:00Z,White Claw Hard Seltzer Mango 355mL,White Claw,hard_seltzer,5.0,325,3.25,,lcbo-100009,2024-01-15T10:08:00Z,2,False,False,True,False,False,mid,standard,1.0,0.024640657084188902,4.666666666666667,3,0.5773502691896257,4.0,1
3,1,TorontoML_Recruiter,5,Super clean lemon flavour. Probably the best RTD for the price in Ontario.,2024-02-01T14:27:00Z,-196 Lemon Vodka Soda 500mL,-196 LEMON VODKA SODA,hard_seltzer,5.0,350,3.5,,lcbo-100001,2024-01-15T10:00:00Z,2,False,False,True,False,False,mid,standard,1.0,0.034907597535934295,4.666666666666667,3,0.5773502691896257,5.0,2
4,10,PaddleboarderKev,4,Classic lime seltzer done right. Goes down too easy.,2024-02-03T09:11:00Z,White Claw Hard Seltzer Natural Lime 355mL,White Claw,hard_seltzer,5.0,325,3.25,,lcbo-100010,2024-01-15T10:09:00Z,2,False,False,True,False,False,mid,standard,1.0,0.024640657084188902,4.0,3,1.0,4.0,1
5,25,PaddleboarderKev,3,A bit sweet for me but solid if you like lemonade.,2024-02-03T09:14:00Z,Mike's Hard Lemonade 355mL,Mike's Hard,cooler,5.0,305,3.05,,lcbo-100025,2024-01-15T10:24:00Z,1,False,True,False,False,False,mid,standard,1.0,0.016427104722792615,4.0,3,1.0,3.0,1
6,21,PaddleboarderKev,5,Palm Bay hits different at a cottage. Key lime cherry is the move.,2024-02-03T09:17:00Z,Palm Bay Key Lime Cherry 355mL,Palm Bay,cooler,4.0,279,2.79,,lcbo-100021,2024-01-15T10:20:00Z,1,False,True,False,False,False,budget,light,0.6000000000000001,0.00574948665297742,4.0,3,1.0,5.0,1
7,36,CiderSommelier,5,Strongbow Gold Apple is the benchmark for Ontario cider. Crisp dry finish.,2024-02-05T19:45:00Z,Strongbow Gold Apple Cider 473mL,Strongbow,cider,5.0,299,2.99,,lcbo-100036,2024-01-15T10:35:00Z,0,True,False,False,False,False,budget,standard,1.0,0.013963039014373735,4.0,4,0.8164965809277259,5.0,1
8,39,CiderSommelier,4,Rekorderlig is sweeter than I prefer but the strawberry lime combo is undeniably delicious.,2024-02-05T19:48:00Z,Rekorderlig Strawberry Lime Cider 500mL,Rekorderlig,cider,4.5,399,3.99,,lcbo-100039,2024-01-15T10:38:00Z,0,True,False,False,False,False,mid,light,0.8,0.05503080082135524,4.0,4,0.8164965809277259,4.0,1
9,41,CiderSommelier,4,Kopparberg mixed fruit is fruity but not cloying. Good cider for the price.,2024-02-05T19:51:00Z,Kopparberg Mixed Fruit Cider 500mL,Kopparberg,cider,4.5,389,3.89,,lcbo-100041,2024-01-15T10:40:00Z,0,True,False,False,False,False,mid,light,0.8,0.05092402464065708,4.0,4,0.8164965809277259,4.0,1
10,43,CiderSommelier,3,Somersby is serviceable but lacks depth compared to European imports.,2024-02-05T19:54:00Z,Somersby Apple Cider 500mL,Somersby,cider,4.5,345,3.45,,lcbo-100043,2024-01-15T10:42:00Z,0,True,False,False,False,False,mid,light,0.8,0.03285420944558522,4.0,4,0.8164965809277259,3.0,1
