cooler_id,name,brand_name,abv,price_tier,abv_tier,category_code,cat_cider,cat_cooler,cat_hard_seltzer,cat_other,cat_radler,abv_norm,price_norm
1,-196 Lemon Vodka Soda 500mL,-196 LEMON VODKA SODA,5.0,mid,standard,2,False,False,True,False,False,1.0,0.0349075975359342
2,Absolut Cocktail Espresso Martini 355mL,Absolut,5.0,premium,standard,1,False,True,False,False,False,1.0,0.997946611909651
3,Absolut Cocktail Vodka Mojito 355mL,Absolut,5.0,premium,standard,1,False,True,False,False,False,1.0,1.0
4,Absolut Ocean Spray Cranberry 355mL,Absolut Ocean Spray,4.5,mid,light,1,False,True,False,False,False,0.8,0.0246406570841889
5,Ace Hill Lemon Vodka Soda 355mL,Ace Hill,4.5,mid,light,2,False,False,True,False,False,0.8,0.0246406570841889
6,Ace Hill Watermelon Vodka Soda 355mL,Ace Hill,4.5,mid,light,2,False,False,True,False,False,0.8,0.0246406570841889
7,Ace Hill Lime Vodka Soda 355mL,Ace Hill,4.5,mid,light,2,False,False,True,False,False,0.8,0.0246406570841889
8,White Claw Hard Seltzer Black Cherry 355mL,White Claw,5.0,mid,standard,2,False,False,True,False,False,1.0,0.0246406570841889
9,White Claw Hard Seltzer Mango 355mL,White Claw,5.0,mid,standard,2,False,False,True,False,False,1.0,0.0246406570841889
10,White Claw Hard Seltzer Natural Lime 355mL,White Claw,5.0,mid,standard,2,False,False,True,False,False,1.0,0.0246406570841889
11,White Claw Hard Seltzer Raspberry 355mL,White Claw,5.0,mid,standard,2,False,False,True,False,False,1.0,0.0246406570841889
12,Truly Wild Berry Hard Seltzer 355mL,Truly,5.0,mid,standard,2,False,False,True,False,False,1.0,0.02217659137577
13,Truly Lemonade Hard Seltzer 355mL,Truly,5.0,mid,standard,2,False,False,True,False,False,1.0,0.02217659137577
14,Truly Pineapple Hard Seltzer 355mL,Truly,5.0,mid,standard,2,False,False,True,False,False,1.0,0.02217659137577
15,Nude Vodka Soda Grapefruit 355mL,Nude,5.0,mid,standard,2,False,False,True,False,False,1.0,0.0184804928131416
16,Nude Vodka Soda Peach Tea 355mL,Nude,5.0,mid,standard,2,False,False,True,False,False,1.0,0.0184804928131416
17,Nude Vodka Soda Raspberry Lemonade 355mL,Nude,5.0,mid,standard,2,False,False,True,False,False,1.0,0.0184804928131416
18,Cottage Springs Vodka Soda Lemon 355mL,Cottage Springs,5.0,budget,standard,2,False,False,True,False,False,1.0,0.0102669404517453
19,Cottage Springs Vodka Soda Raspberry 355mL,Cottage Springs,5.0,budget,standard,2,False,False,True,False,False,1.0,0.0102669404517453
20,Cottage Springs Gin & Soda Cucumber 355mL,Cottage Springs,5.0,budget,standard,2,False,False,True,False,False,1.0,0.0139630390143737
21,Palm Bay Key Lime Cherry 355mL,Palm Bay,4.0,budget,light,1,False,True,False,False,False,0.6000000000000001,0.0057494866529774
22,Palm Bay Mango Strawberry 355mL,Palm Bay,4.0,budget,light,1,False,True,False,False,False,0.6000000000000001,0.0057494866529774
23,Palm Bay Tropical Lime 355mL,Palm Bay,4.0,budget,light,1,False,True,False,False,False,0.6000000000000001,0.0057494866529774
24,Palm Bay Pineapple Coconut 355mL,Palm Bay,4.0,budget,light,1,False,True,False,False,False,0.6000000000000001,0.0057494866529774
25,Mike's Hard Lemonade 355mL,Mike's Hard,5.0,mid,standard,1,False,True,False,False,False,1.0,0.0164271047227926
26,Mike's Hard Black Cherry Lemonade 355mL,Mike's Hard,5.0,mid,standard,1,False,True,False,False,False,1.0,0.0164271047227926
27,Mike's Hard Watermelon 355mL,Mike's Hard,5.0,mid,standard,1,False,True,False,False,False,1.0,0.0164271047227926
28,Smirnoff Ice Original 355mL,Smirnoff,4.5,budget,light,1,False,True,False,False,False,0.8,0.0098562628336755
29,Smirnoff Ice Screwdriver 355mL,Smirnoff,4.5,budget,light,1,False,True,False,False,False,0.8,0.0098562628336755
