user_handle,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,36,37,39,40,41,42,43,44,45,46,47,48,49,50
AppleOrchardFan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,3.0,,3.0,,,,,,
BudgetBeverage,,,,,,,,,,,,,,,,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaesarConnoisseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,4.0,5.0,,,
CasualFridayDrinks,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,2.0,3.0,,,,,,,,,,,,,,,,,
CiderSommelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,,4.0,,3.0,,,,,,,
CoffeeAndCocktails,,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HealthyHydration,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,
LCBOHunter,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,
NightOwl99,5.0,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
PaddleboarderKev,,,,,,,,,,4.0,,,,,,,,,,5.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
PatioSeason,,,,,,,,4.0,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
SummerCottage,,,,,,,,,,,,,,,,5.0,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
SundownDrinker,,,,,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
TorontoML_Recruiter,5.0,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
